parcel_id,authorityname,restriction,restriction_term,zone,landuse
17053,EMA,wetland,unlimited,Factories,Agriculture
17054,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16771,CAZ,flightzone,unlimited,Low Density,Agriculture
16681,Epworth Local Board,residential,limited,High Density,Residential
17044,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16741,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17055,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17042,Epworth Local Board,residential,limited,High Density,Industrial
16680,EMA,wetland,unlimited,Factories,Agriculture
16679,EMA,river basin,unlimited,Medium Density,National Parks
16858,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16773,CAZ,flightzone,unlimited,Low Density,Agriculture
16857,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16678,EMA,river basin,unlimited,Medium Density,National Parks
16772,Epworth Local Board,residential,limited,High Density,Residential
16743,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17032,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17033,Epworth Local Board,residential,limited,High Density,Residential
17034,EMA,wetland,unlimited,Factories,Agriculture
17035,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17036,CAZ,flightzone,unlimited,Low Density,Agriculture
17037,Epworth Local Board,residential,limited,High Density,Residential
17038,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16682,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17039,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17060,Epworth Local Board,residential,limited,High Density,Industrial
17061,EMA,wetland,unlimited,Factories,Agriculture
16835,EMA,river basin,unlimited,Medium Density,National Parks
16834,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17062,CAZ,flightzone,unlimited,Low Density,Agriculture
16859,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16833,EMA,river basin,unlimited,Medium Density,National Parks
17031,Epworth Local Board,residential,limited,High Density,Residential
16737,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16832,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17056,Epworth Local Board,residential,limited,High Density,Residential
16831,EMA,wetland,unlimited,Factories,Agriculture
17063,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17041,CAZ,flightzone,unlimited,Low Density,Agriculture
16676,Epworth Local Board,residential,limited,High Density,Residential
16830,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16856,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16736,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16675,Epworth Local Board,residential,limited,High Density,Industrial
16860,EMA,wetland,unlimited,Factories,Agriculture
16829,EMA,river basin,unlimited,Medium Density,National Parks
16684,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16855,CAZ,flightzone,unlimited,Low Density,Agriculture
17059,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16828,EMA,river basin,unlimited,Medium Density,National Parks
17019,Epworth Local Board,residential,limited,High Density,Residential
17018,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17064,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16692,Epworth Local Board,residential,limited,High Density,Residential
16733,EMA,wetland,unlimited,Factories,Agriculture
16674,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16861,CAZ,flightzone,unlimited,Low Density,Agriculture
16836,Epworth Local Board,residential,limited,High Density,Residential
16827,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17016,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17015,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17014,Epworth Local Board,residential,limited,High Density,Industrial
17013,EMA,wetland,unlimited,Factories,Agriculture
17012,EMA,river basin,unlimited,Medium Density,National Parks
16854,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17057,CAZ,flightzone,unlimited,Low Density,Agriculture
16837,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17030,EMA,river basin,unlimited,Medium Density,National Parks
16693,Epworth Local Board,residential,limited,High Density,Residential
16775,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16841,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17011,Epworth Local Board,residential,limited,High Density,Residential
16842,EMA,wetland,unlimited,Factories,Agriculture
17058,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16843,CAZ,flightzone,unlimited,Low Density,Agriculture
16694,Epworth Local Board,residential,limited,High Density,Residential
16732,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16685,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17065,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17021,Epworth Local Board,residential,limited,High Density,Industrial
16862,EMA,wetland,unlimited,Factories,Agriculture
16776,EMA,river basin,unlimited,Medium Density,National Parks
17020,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16695,CAZ,flightzone,unlimited,Low Density,Agriculture
16826,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17029,EMA,river basin,unlimited,Medium Density,National Parks
16853,Epworth Local Board,residential,limited,High Density,Residential
16825,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17009,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16852,Epworth Local Board,residential,limited,High Density,Residential
16851,EMA,wetland,unlimited,Factories,Agriculture
17010,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16850,CAZ,flightzone,unlimited,Low Density,Agriculture
16824,Epworth Local Board,residential,limited,High Density,Residential
16849,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16691,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16848,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16696,Epworth Local Board,residential,limited,High Density,Industrial
16777,EMA,wetland,unlimited,Factories,Agriculture
16847,EMA,river basin,unlimited,Medium Density,National Parks
16846,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17022,CAZ,flightzone,unlimited,Low Density,Agriculture
16731,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16878,EMA,river basin,unlimited,Medium Density,National Parks
17008,Epworth Local Board,residential,limited,High Density,Residential
17007,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16718,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17028,Epworth Local Board,residential,limited,High Density,Residential
16673,EMA,wetland,unlimited,Factories,Agriculture
16821,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16778,CAZ,flightzone,unlimited,Low Density,Agriculture
17006,Epworth Local Board,residential,limited,High Density,Residential
17066,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16689,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16823,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15667,Epworth Local Board,residential,limited,High Density,Industrial
17023,EMA,wetland,unlimited,Factories,Agriculture
16871,EMA,river basin,unlimited,Medium Density,National Parks
16872,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17005,CAZ,flightzone,unlimited,Low Density,Agriculture
16672,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16875,EMA,river basin,unlimited,Medium Density,National Parks
16717,Epworth Local Board,residential,limited,High Density,Residential
16876,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16730,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16877,Epworth Local Board,residential,limited,High Density,Residential
16697,EMA,wetland,unlimited,Factories,Agriculture
16991,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17067,CAZ,flightzone,unlimited,Low Density,Agriculture
17004,Epworth Local Board,residential,limited,High Density,Residential
16686,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17068,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16820,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16863,Epworth Local Board,residential,limited,High Density,Industrial
16719,EMA,wetland,unlimited,Factories,Agriculture
16993,EMA,river basin,unlimited,Medium Density,National Parks
16779,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16671,CAZ,flightzone,unlimited,Low Density,Agriculture
17024,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16990,EMA,river basin,unlimited,Medium Density,National Parks
17027,Epworth Local Board,residential,limited,High Density,Residential
16819,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15666,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17002,Epworth Local Board,residential,limited,High Density,Residential
17026,EMA,wetland,unlimited,Factories,Agriculture
17003,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16818,CAZ,flightzone,unlimited,Low Density,Agriculture
16688,Epworth Local Board,residential,limited,High Density,Residential
16817,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15665,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16805,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16716,Epworth Local Board,residential,limited,High Density,Industrial
16729,EMA,wetland,unlimited,Factories,Agriculture
16994,EMA,river basin,unlimited,Medium Density,National Parks
16989,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17069,CAZ,flightzone,unlimited,Low Density,Agriculture
15668,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16670,EMA,river basin,unlimited,Medium Density,National Parks
17070,Epworth Local Board,residential,limited,High Density,Residential
17025,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17001,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15664,Epworth Local Board,residential,limited,High Density,Residential
16698,EMA,wetland,unlimited,Factories,Agriculture
16780,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17071,CAZ,flightzone,unlimited,Low Density,Agriculture
16865,Epworth Local Board,residential,limited,High Density,Residential
16995,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16988,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17082,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16870,Epworth Local Board,residential,limited,High Density,Industrial
16687,EMA,wetland,unlimited,Factories,Agriculture
16806,EMA,river basin,unlimited,Medium Density,National Parks
17072,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16879,CAZ,flightzone,unlimited,Low Density,Agriculture
16880,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15662,EMA,river basin,unlimited,Medium Density,National Parks
16881,Epworth Local Board,residential,limited,High Density,Residential
16720,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16882,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16669,Epworth Local Board,residential,limited,High Density,Residential
16883,EMA,wetland,unlimited,Factories,Agriculture
15663,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17073,CAZ,flightzone,unlimited,Low Density,Agriculture
15654,Epworth Local Board,residential,limited,High Density,Residential
16884,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16815,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17083,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16987,Epworth Local Board,residential,limited,High Density,Industrial
16699,EMA,wetland,unlimited,Factories,Agriculture
16781,EMA,river basin,unlimited,Medium Density,National Parks
16885,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16866,CAZ,flightzone,unlimited,Low Density,Agriculture
16998,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15669,EMA,river basin,unlimited,Medium Density,National Parks
15655,Epworth Local Board,residential,limited,High Density,Residential
17000,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16715,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16728,Epworth Local Board,residential,limited,High Density,Residential
16807,EMA,wetland,unlimited,Factories,Agriculture
16886,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17084,CAZ,flightzone,unlimited,Low Density,Agriculture
16997,Epworth Local Board,residential,limited,High Density,Residential
16668,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15656,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16986,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16867,Epworth Local Board,residential,limited,High Density,Industrial
16721,EMA,wetland,unlimited,Factories,Agriculture
16996,EMA,river basin,unlimited,Medium Density,National Parks
16887,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15670,CAZ,flightzone,unlimited,Low Density,Agriculture
16814,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17085,EMA,river basin,unlimited,Medium Density,National Parks
15620,Epworth Local Board,residential,limited,High Density,Residential
17088,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16898,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16727,Epworth Local Board,residential,limited,High Density,Residential
17086,EMA,wetland,unlimited,Factories,Agriculture
16700,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16782,CAZ,flightzone,unlimited,Low Density,Agriculture
16985,Epworth Local Board,residential,limited,High Density,Residential
16897,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17087,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16808,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16984,Epworth Local Board,residential,limited,High Density,Industrial
15661,EMA,wetland,unlimited,Factories,Agriculture
15657,EMA,river basin,unlimited,Medium Density,National Parks
16722,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15652,CAZ,flightzone,unlimited,Low Density,Agriculture
17159,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17160,EMA,river basin,unlimited,Medium Density,National Parks
17081,Epworth Local Board,residential,limited,High Density,Residential
16896,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15671,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17089,Epworth Local Board,residential,limited,High Density,Residential
16714,EMA,wetland,unlimited,Factories,Agriculture
17161,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16726,CAZ,flightzone,unlimited,Low Density,Agriculture
16895,Epworth Local Board,residential,limited,High Density,Residential
16813,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16701,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15621,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17107,Epworth Local Board,residential,limited,High Density,Industrial
15658,EMA,wetland,unlimited,Factories,Agriculture
16963,EMA,river basin,unlimited,Medium Density,National Parks
17074,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16783,CAZ,flightzone,unlimited,Low Density,Agriculture
17158,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16784,EMA,river basin,unlimited,Medium Density,National Parks
17108,Epworth Local Board,residential,limited,High Density,Residential
16894,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16983,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16893,Epworth Local Board,residential,limited,High Density,Residential
16892,EMA,wetland,unlimited,Factories,Agriculture
15619,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17093,CAZ,flightzone,unlimited,Low Density,Agriculture
16809,Epworth Local Board,residential,limited,High Density,Residential
17162,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17109,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15659,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16725,Epworth Local Board,residential,limited,High Density,Industrial
17152,EMA,wetland,unlimited,Factories,Agriculture
17080,EMA,river basin,unlimited,Medium Density,National Parks
17157,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16891,CAZ,flightzone,unlimited,Low Density,Agriculture
15660,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17092,EMA,river basin,unlimited,Medium Density,National Parks
16899,Epworth Local Board,residential,limited,High Density,Residential
17151,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17110,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15618,Epworth Local Board,residential,limited,High Density,Residential
16890,EMA,wetland,unlimited,Factories,Agriculture
16702,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17091,CAZ,flightzone,unlimited,Low Density,Agriculture
16901,Epworth Local Board,residential,limited,High Density,Residential
17075,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17185,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16964,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15672,Epworth Local Board,residential,limited,High Density,Industrial
15651,EMA,wetland,unlimited,Factories,Agriculture
16785,EMA,river basin,unlimited,Medium Density,National Parks
16724,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17090,CAZ,flightzone,unlimited,Low Density,Agriculture
16888,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15622,EMA,river basin,unlimited,Medium Density,National Parks
16902,Epworth Local Board,residential,limited,High Density,Residential
15617,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16982,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17153,Epworth Local Board,residential,limited,High Density,Residential
17106,EMA,wetland,unlimited,Factories,Agriculture
16903,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17079,CAZ,flightzone,unlimited,Low Density,Agriculture
16666,Epworth Local Board,residential,limited,High Density,Residential
16812,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16786,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16904,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16804,Epworth Local Board,residential,limited,High Density,Industrial
16962,EMA,wetland,unlimited,Factories,Agriculture
17186,EMA,river basin,unlimited,Medium Density,National Parks
15616,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17094,CAZ,flightzone,unlimited,Low Density,Agriculture
16723,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16703,EMA,river basin,unlimited,Medium Density,National Parks
16811,Epworth Local Board,residential,limited,High Density,Residential
16965,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16905,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16981,Epworth Local Board,residential,limited,High Density,Residential
15673,EMA,wetland,unlimited,Factories,Agriculture
15608,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16810,CAZ,flightzone,unlimited,Low Density,Agriculture
17184,Epworth Local Board,residential,limited,High Density,Residential
17095,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17111,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17150,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17105,Epworth Local Board,residential,limited,High Density,Industrial
16961,EMA,wetland,unlimited,Factories,Agriculture
16787,EMA,river basin,unlimited,Medium Density,National Parks
17154,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16906,CAZ,flightzone,unlimited,Low Density,Agriculture
15649,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17156,EMA,river basin,unlimited,Medium Density,National Parks
16665,Epworth Local Board,residential,limited,High Density,Residential
15623,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16789,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16960,Epworth Local Board,residential,limited,High Density,Residential
15648,EMA,wetland,unlimited,Factories,Agriculture
16907,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17096,CAZ,flightzone,unlimited,Low Density,Agriculture
15645,Epworth Local Board,residential,limited,High Density,Residential
16959,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15647,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15646,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17078,Epworth Local Board,residential,limited,High Density,Industrial
15607,EMA,wetland,unlimited,Factories,Agriculture
16908,EMA,river basin,unlimited,Medium Density,National Parks
17163,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
17097,CAZ,flightzone,unlimited,Low Density,Agriculture
16980,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16958,EMA,river basin,unlimited,Medium Density,National Parks
16966,Epworth Local Board,residential,limited,High Density,Residential
16788,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16909,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16790,Epworth Local Board,residential,limited,High Density,Residential
17164,EMA,wetland,unlimited,Factories,Agriculture
17112,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17104,CAZ,flightzone,unlimited,Low Density,Agriculture
17187,Epworth Local Board,residential,limited,High Density,Residential
16957,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17076,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17155,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15609,Epworth Local Board,residential,limited,High Density,Industrial
16910,EMA,wetland,unlimited,Factories,Agriculture
15606,EMA,river basin,unlimited,Medium Density,National Parks
16956,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15674,CAZ,flightzone,unlimited,Low Density,Agriculture
16947,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16911,EMA,river basin,unlimited,Medium Density,National Parks
16791,Epworth Local Board,residential,limited,High Density,Residential
16638,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17113,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15644,Epworth Local Board,residential,limited,High Density,Residential
16639,EMA,wetland,unlimited,Factories,Agriculture
16979,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15675,CAZ,flightzone,unlimited,Low Density,Agriculture
16802,Epworth Local Board,residential,limited,High Density,Residential
17165,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15624,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15613,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15605,Epworth Local Board,residential,limited,High Density,Industrial
16948,EMA,wetland,unlimited,Factories,Agriculture
16792,EMA,river basin,unlimited,Medium Density,National Parks
17103,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15676,CAZ,flightzone,unlimited,Low Density,Agriculture
15633,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15634,EMA,river basin,unlimited,Medium Density,National Parks
17099,Epworth Local Board,residential,limited,High Density,Residential
15677,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16916,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17166,Epworth Local Board,residential,limited,High Density,Residential
16915,EMA,wetland,unlimited,Factories,Agriculture
16801,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
15610,CAZ,flightzone,unlimited,Low Density,Agriculture
17114,Epworth Local Board,residential,limited,High Density,Residential
17188,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15604,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16949,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15678,Epworth Local Board,residential,limited,High Density,Industrial
16793,EMA,wetland,unlimited,Factories,Agriculture
16914,EMA,river basin,unlimited,Medium Density,National Parks
17182,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15611,CAZ,flightzone,unlimited,Low Density,Agriculture
17100,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16950,EMA,river basin,unlimited,Medium Density,National Parks
15632,Epworth Local Board,residential,limited,High Density,Residential
15643,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16913,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16978,Epworth Local Board,residential,limited,High Density,Residential
16967,EMA,wetland,unlimited,Factories,Agriculture
16951,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
16663,CAZ,flightzone,unlimited,Low Density,Agriculture
16912,Epworth Local Board,residential,limited,High Density,Residential
15601,ZMM,monument (balancing rocks),unlimited,Factories,Residential
16637,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16952,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16955,Epworth Local Board,residential,limited,High Density,Industrial
16946,EMA,wetland,unlimited,Factories,Agriculture
17102,EMA,river basin,unlimited,Medium Density,National Parks
16794,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
16799,CAZ,flightzone,unlimited,Low Density,Agriculture
16953,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15625,EMA,river basin,unlimited,Medium Density,National Parks
16640,Epworth Local Board,residential,limited,High Density,Residential
17189,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15683,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17167,Epworth Local Board,residential,limited,High Density,Residential
15635,EMA,wetland,unlimited,Factories,Agriculture
16704,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17191,CAZ,flightzone,unlimited,Low Density,Agriculture
17181,Epworth Local Board,residential,limited,High Density,Residential
15600,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15684,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15626,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17115,Epworth Local Board,residential,limited,High Density,Industrial
16954,EMA,wetland,unlimited,Factories,Agriculture
15631,EMA,river basin,unlimited,Medium Density,National Parks
17149,ZMM,monument (balancing rocks),unlimited,High Density,Recreational
15603,CAZ,flightzone,unlimited,Low Density,Agriculture
16968,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
17101,EMA,river basin,unlimited,Medium Density,National Parks
15627,Epworth Local Board,residential,limited,High Density,Residential
16977,ZMM,monument (balancing rocks),unlimited,Factories,Residential
17146,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
16945,Epworth Local Board,residential,limited,High Density,Residential
15742,EMA,wetland,unlimited,Factories,Agriculture
16800,ZMM,monument (balancing rocks),unlimited,High Density,National Parks
17168,CAZ,flightzone,unlimited,Low Density,Agriculture
16795,Epworth Local Board,residential,limited,High Density,Residential
16636,ZMM,monument (balancing rocks),unlimited,Factories,Residential
15022,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15602,ZMM,monument (balancing rocks),unlimited,Low Density,Recreational
15628,Epworth Local Board,residential,limited,High Density,Industrial
16662,EMA,wetland,unlimited,Factories,Agriculture
